slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,امامت,tehran,۴۳,۱۳۸۸,۱٬۳۴۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۱۶۳٬۰۰۰ تومان,۱,۱,,,,1,,,gYA2bmHv
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۳,۱۳۸۵,۱٬۵۳۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۸۶۸٬۰۰۰ تومان,۳ از ۴,۱,,,1,1,,,gYt5laKZ
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۶,۱۳۷۸,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۳۰۲٬۰۰۰ تومان,۲ از ۴,۲,,1,1,1,,,gYA2Ksxp
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۹,۱۳۸۵,۲٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۷۹۸٬۰۰۰ تومان,۱ از ۵,۲,1,,1,1,,,gYAOKUx0
apartment-sell,آپارتمان,تهران,نیرو هوایی,tehran,۵۷,۱۳۸۲,۱٬۸۷۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۸۰۷٬۰۰۰ تومان,۱ از ۵,۱,1,,1,1,,,gY5lz_OG
apartment-sell,آپارتمان,تهران,امامت,tehran,۴۰,۱۳۸۹,توافقی,,۴,۱,1,,1,1,,,gY_Z6dQg
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۷,۱۳۸۰,۱٬۶۷۵٬۰۰۰٬۰۰۰ تومان,۲۹٬۳۸۶٬۰۰۰ تومان,۳,۱,,1,1,1,,,gY7BaMrg
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۱۴,۱۳۹۲,۴٬۵۶۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,,,gY6Nxqvx
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۱۲,۱۴۰۰,۵٬۲۶۴٬۰۰۰٬۰۰۰ تومان,۴۷٬۰۰۰٬۰۰۰ تومان,۲ از ۴,۲,1,1,,1,35.70962012657,51.491732550593,gYkdvgqF
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۱۸,۱۳۹۹,۴٬۹۵۶٬۰۰۰٬۰۰۰ تومان,۴۲٬۰۰۰٬۰۰۰ تومان,۱ از ۴,۲,1,1,1,1,,,gY_B2AoE
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۶,۱۳۹۳,توافقی,,۲ از ۵,۲,1,1,1,1,35.714256,51.491253,gYVhBrEZ
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۰,۱۳۷۸,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۲۵۰٬۰۰۰ تومان,۴ از ۴,۲,,,1,1,,,gY_9UoXm
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۰,۱۳۸۱,توافقی,,۲ از ۵,۲,,,1,1,,,gY-1omGl
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۴,۱۳۸۳,توافقی,,۳,۱,1,1,1,1,,,gY8d7tls
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۸,۱۳۹۱,۱٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۸۹۷٬۰۰۰ تومان,۳ از ۴,۲,,,1,1,35.70934,51.492264,gY7R-4j5
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۰,۱۳۸۸,۲٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۸۳۳٬۰۰۰ تومان,۳ از ۵,۱,1,1,1,1,,,gYbJK_6Y
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۳,۱۳۸۶,۱٬۵۸۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۸۱۱٬۰۰۰ تومان,۳,۱,1,,1,1,35.713097,51.491222,gYzZP_m5
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۷,۱۳۷۷,۱٬۸۳۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۳۱۳٬۰۰۰ تومان,۴ از ۴,۱,,1,1,1,35.71182,51.48496,gY71LKhK
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۰,۱۳۸۳,۳٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۵۰۰٬۰۰۰ تومان,۳ از ۴,۲,,1,1,1,35.714478,51.49047,gY7BnTPT
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۰,۱۳۹۲,۳٬۳۹۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۶۶۷٬۰۰۰ تومان,۴ از ۵,۲,1,1,1,1,35.712452,51.492214,gY4Z7kQo
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۰,۱۳۸۵,۲٬۴۲۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۳۳۳٬۰۰۰ تومان,۳ از ۵,۱,1,1,1,1,,,gY6Vn8lu
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۰,۱۳۹۲,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,35.70751,51.486397,gY6RWe43
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۱,۱۳۹۳,۳٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۳۰۸٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gY6FGnQR
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۴,۱۳۸۰,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۴۸۱٬۰۰۰ تومان,۳,۱,1,,1,1,,,gY6BWK1-
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۰,۱۳۹۱,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gY6tlPxY
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۵,۱۳۸۵,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۰۹۱٬۰۰۰ تومان,۳,۲,,1,1,1,,,gYn1q7vM
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۱,۱۳۹۹,۵۴۵٬۴۰۰٬۰۰۰ تومان,۵٬۴۰۰٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gY4tsYAr
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۲,۱۳۹۸,۵٬۴۹۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۳,1,1,1,1,,,gYl5ji32
apartment-sell,آپارتمان,تهران,امامت,tehran,۷۰,۱۳۸۲,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۰۰۰٬۰۰۰ تومان,۴ از ۴,۲,,,1,1,35.712765462985,51.495194872404,gYRJbfQN
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۰,۱۳۸۵,توافقی,,۴,۱,1,,1,1,,,gY5RwH1J
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۰,۱۳۹۰,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,,,gY4B_VQi
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۵۰,۱۴۰۰,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۶ از ۶,۳,1,1,1,1,,,gY4lN2hK
apartment-sell,آپارتمان,تهران,امامت,tehran,۷۰,۱۳۹۷,۲٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۱۴۳٬۰۰۰ تومان,۱ از ۴,۲,1,1,,1,,,gYnhOpSk
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۸,۱۳۹۵,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۷۹۳٬۰۰۰ تومان,۴ از ۴,۲,1,,,1,,,gY3960hK
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۲,۱۳۹۶,۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۴۴۳٬۰۰۰ تومان,۱,۳,1,1,1,1,,,gYipMGQy
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۲,۱۳۸۰,۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۲۶۱٬۰۰۰ تومان,۴ از ۴,۲,,1,1,1,35.714233,51.49133,gY3FJMIY
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۵,۱۳۹۱,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۳۸۵٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,,,gY35Wlko
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۹,۱۳۹۹,۲٬۷۶۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۱ از ۲۲,۱,1,1,1,1,,,gYeFmldW
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۱۵,۱۳۹۲,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۱۳۰٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,,,gY25YzV9
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۴,۱۳۷۸,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۱۱۵٬۰۰۰ تومان,۴ از ۴,۲,,,1,1,,,gYVliwSz
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۰,۱۳۸۵,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۶۶۷٬۰۰۰ تومان,۳ از ۳,۱,,,,1,,,gY2F1Yv0
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۴,۱۴۰۰,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۰۰۰٬۰۰۰ تومان,۲,۲,1,1,,1,35.70747,51.486916,gY2xln9y
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۲,۱۳۸۵,۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۳۵۳٬۰۰۰ تومان,۱ از ۵,۲,1,,1,1,35.71227,51.486786,gYRRiros
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۳,۱۴۰۰,۴٬۴۲۹٬۰۰۰٬۰۰۰ تومان,۴۳٬۰۰۰٬۰۰۰ تومان,۵,۲,1,1,,1,,,gYeVWicd
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۷۵,۱۴۰۰,توافقی,,۱,۳,1,1,1,1,,,gY2Nzc6S
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۸,۱۴۰۰,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۵۸۸٬۰۰۰ تومان,۱,۲,1,1,,1,35.71472090558621,51.49410167858412,gY2piRrK
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۱۵,۱۳۹۲,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۱۳۰٬۰۰۰ تومان,۵ از ۵,۳,1,1,1,1,,,gY2xxSTE
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۱۲,۱۴۰۰,۵٬۴۳۵٬۰۰۰٬۰۰۰ تومان,۴۸٬۵۲۷٬۰۰۰ تومان,۳ از ۴,۲,1,1,1,1,,,gY2Zhfnb
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۱,۱۳۸۱,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۱۶۰٬۰۰۰ تومان,۴ از ۴,۲,,1,1,1,,,gY21g6dt
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۰,۱۳۹۱,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۰۰٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYtlierW
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۷,۱۴۰۰,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۳۹۲٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gYoZB7Fx
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۸,۱۳۹۵,توافقی,,۴,۲,1,,1,1,,,gYzVInhw
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۵,۱۳۸۴,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۳۳٬۶۸۴٬۰۰۰ تومان,۲ از ۲,۲,,1,1,1,,,gYyhpvJW
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۵,۱۳۸۳,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۳۰۸٬۰۰۰ تومان,۴ از ۴,۱,,1,1,1,,,gYytlXN8
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۸,۱۳۸۵,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۳۱۰٬۰۰۰ تومان,۲ از ۵,۱,1,,1,1,35.70801,51.487095,gYxpDjdC
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۲,۱۳۹۷,۵٬۴۹۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۳,1,1,1,1,,,gYx5w5fA
apartment-sell,آپارتمان,تهران,امامت,tehran,۷۰,۱۳۹۸,۲٬۶۹۱٬۰۰۰٬۰۰۰ تومان,۳۸٬۴۴۳٬۰۰۰ تومان,۶ از ۶,۱,1,1,1,1,,,gYvtc-7O
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۷,۱۴۰۰,توافقی,,۱ از ۵,۲,1,1,1,1,35.710197,51.488148,gYwpCaN9
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۱,۱۳۹۰,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۵۶۸٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYv5M7x0
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۰,۱۳۸۵,توافقی,,۴,۲,1,1,1,1,,,gYvVK2Iy
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۳,۱۳۸۵,۱٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۲۴۵٬۰۰۰ تومان,۲ از ۴,۱,,,1,1,,,gYvho8iI
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۲,۱۳۹۹,توافقی,,۱,۳,1,1,1,1,,,gYu93Alq
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۰,۱۳۸۴,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۰۰۰٬۰۰۰ تومان,۳,۱,1,,1,1,35.71117,51.493057,gYkpt0B6
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۰,۱۳۸۲,۲٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,۲,۲,,,1,1,,,gYtxyWQf
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۷,۱۳۸۶,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۷۰۲٬۰۰۰ تومان,۳ از ۴,۱,,1,1,1,35.712185763103,51.496290445311,gYt5S1i3
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۱,۱۳۹۰,توافقی,,۲,۲,1,1,1,1,,,gYsFfRxh
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۵,۱۳۸۵,۲٬۱۲۵٬۰۰۰٬۰۰۰ تومان,۲۵٬۰۰۰٬۰۰۰ تومان,۲,۲,,,1,1,35.71482,51.49144,gYsJefUN
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۳,۱۳۷۵,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۳۰۲٬۰۰۰ تومان,۴ از ۴,۱,,,1,1,,,gYsVQ-oy
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۰,۱۳۸۸,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۵۰۰٬۰۰۰ تومان,۴,۲,,,1,1,,,gYr55M-b
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۵,۱۳۹۰,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۳۳٬۸۴۶٬۰۰۰ تومان,۱,۱,1,1,1,1,,,gYq97KwK
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۰,۱۳۸۵,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۲,1,,1,1,,,gYptRCbX
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۵,۱۴۰۰,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۴۶۲٬۰۰۰ تومان,۶,۲,1,,1,1,,,gYotQSbd
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۴۵,۱۴۰۰,توافقی,,۴ از ۶,۳,1,1,1,1,,,gYnp-4CY
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۸,۱۳۹۵,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۷۹۳٬۰۰۰ تومان,۴ از ۴,۲,1,,,1,,,gYnNefek
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۷,۱۳۸۰,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۰۷۰٬۰۰۰ تومان,۱ از ۴,۲,,,1,1,,,gYnVt06q
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۳,۱۳۸۸,۴٬۴۲۸٬۰۰۰٬۰۰۰ تومان,۳۶٬۰۰۰٬۰۰۰ تومان,۲ از ۴,۲,1,1,1,1,,,gYntsLT8
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۱۸,۱۳۹۵,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۳۷۳٬۰۰۰ تومان,۵ از ۶,۳,1,1,1,1,,,gYn5J30q
apartment-sell,آپارتمان,تهران,امامت,tehran,۴۲,۱۳۸۰,۹۵۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۶۱۹٬۰۰۰ تومان,۴ از ۴,۱,,,,1,35.705654,51.49036,gYkFvh49
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۵,۱۳۸۵,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۰۷۷٬۰۰۰ تومان,۴,۱,,,,1,,,gYjdPOAU
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۳,۱۳۸۵,۱٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۴۷۲٬۰۰۰ تومان,۴,۱,,,1,1,,,gYjdeN-e
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۲۵,۱۳۹۷,۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۳,1,1,1,1,,,gYjNeWrw
apartment-sell,آپارتمان,تهران,امامت,tehran,۱۰۰,۱۳۸۳,۲٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۰۰۰٬۰۰۰ تومان,۵ از ۵,۲,1,,1,1,,,gYjF-ydo
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۰,۱۳۸۶,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,۳,۱,,,1,1,35.710022296331,51.496907803852,gYjBMmiD
apartment-sell,آپارتمان,تهران,امامت,tehran,۶۹,۱۳۸۰,۱٬۸۷۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۱۰۱٬۰۰۰ تومان,۱ از ۵,۱,1,,1,1,,,gYctS75E
apartment-sell,آپارتمان,تهران,امامت,tehran,۸۲,۱۳۹۷,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۶۸۳٬۰۰۰ تومان,۲ از ۷,۲,1,1,,1,,,gYiZ45KL
apartment-sell,آپارتمان,تهران,امامت,tehran,۷۰,۱۳۸۳,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۸۵۷٬۰۰۰ تومان,۳ از ۵,۲,1,,1,1,35.708347,51.48852,gYiR2GRq
apartment-sell,آپارتمان,تهران,امامت,tehran,۵۳,۱۳۸۴,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۴۱۵٬۰۰۰ تومان,۴ از ۴,۱,,,1,1,,,gYhBAOhi
apartment-sell,آپارتمان,تهران,امامت,tehran,۹۶,۱۳۹۹,توافقی,,۱,۲,1,1,1,1,,,gYfl9Xp4
apartment-sell,آپارتمان,تهران,امامت,tehran,۴۲,۱۳۹۴,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۷۱۴٬۰۰۰ تومان,۴,۱,1,,,1,35.712614966918,51.493091583252,gYfxcDBr
